ano;país;vl_usd_milhoes_exp;vl_usd_milhoes_imp;saldo_usd_milhoes;corrente_comercio
2022;China;89427.761284;60743.964876;28684;150172
2022;Estados Unidos;37437.814354;51304.351542;-13867;88742
2022;Argentina;15344.65193;13099.925718;2245;28445
2022;Países Baixos (Holanda);11927.910064;2752.651957;9175;14681
2022;Espanha;9747.538076;3770.80843;5977;13518
2022;Chile;9094.253694;4621.318682;4473;13716
2022;Singapura;8396.198951;996.474608;7400;9393
2022;México;7050.909571;5283.46756;1767;12334
2022;Japão;6619.791049;5299.808048;1320;11920
2022;Índia;6301.513662;8850.18473;-2549;15152
2022;Alemanha;6269.326305;12807.743944;-6538;19077
2022;Coreia do Sul;6205.931665;5462.676098;743;11669
2022;Canadá;5396.844717;5164.748559;232;10562
2022;Colômbia;5058.074609;2366.689224;2691;7425
2022;Itália;4891.739114;5568.526403;-677;10460
2022;Bélgica;4375.810308;3528.391407;847;7904
2022;Portugal;4287.299907;989.988297;3297;5277
2022;Irã;4285.851065;139.17271;4147;4425
2022;Malásia;3841.774337;1519.740958;2322;5362
2022;Reino Unido;3669.494025;2785.178273;884;6455
2022;Turquia;3550.700024;1334.100194;2217;4885
2022;Tailândia;3524.292636;2177.95986;1346;5702
2022;Paraguai;3519.019653;3636.167344;-117;7155
2022;França;3486.660866;4961.30967;-1475;8448
2022;Peru;3480.152839;1437.031704;2043;4917
2022;Vietnã;3418.723756;2983.563219;435;6402
2022;Emirados Árabes Unidos;3253.697551;2514.142085;740;5768
2022;Indonésia;3095.480738;1863.77071;1232;4959
2022;Arábia Saudita;2914.703978;5306.342358;-2392;8221
2022;Uruguai;2900.349856;1836.15569;1064;4737
2022;Egito;2842.512911;640.115488;2202;3483
2022;Bangladesh;2352.030735;160.014704;2192;2512
2022;Rússia;1959.195743;7853.002061;-5894;9812
2022;Argélia;1917.776167;1182.453815;735;3100
2022;Israel;1883.51447;2118.584273;-235;4002
2022;Bolívia;1832.686782;1807.926142;25;3641
2022;África do Sul;1724.159853;907.881966;816;2632
2022;Filipinas;1528.796976;314.260244;1215;1843
2022;Paquistão;1440.918286;108.116136;1333;1549
2022;Barein;1415.14054;242.659048;1172;1658
2022;Taiwan (Formosa);1415.138409;2806.377365;-1391;4222
2022;Noruega;1356.210681;1009.130643;347;2365
2022;Hong Kong;1339.726057;818.288161;521;2158
2022;Venezuela;1329.070688;360.846897;968;1690
2022;Suíça;1182.956461;2460.019045;-1277;3643
2022;Equador;1123.099456;109.76562;1013;1233
2022;Polônia;1083.550654;927.113085;156;2011
2022;Marrocos;1067.756229;2064.255164;-996;3132
2022;República Dominicana;1043.591361;29.085354;1015;1073
2022;Omã;1040.690852;1160.105747;-119;2201
2022;Nigéria;875.278592;2105.900817;-1231;2981
2022;Panamá;854.774181;14.080934;841;869
2022;Suécia;790.881337;2178.691354;-1388;2970
2022;Austrália;732.783993;2667.614777;-1935;3400
2022;Angola;640.321765;766.717993;-126;1407
2022;Finlândia;636.44492;1141.789538;-505;1778
2022;Iraque;613.363073;0.602371;613;614
2022;Guatemala;564.740886;69.096238;496;634
2022;Costa Rica;544.675526;125.434539;419;670
2022;Eslovênia;515.949293;110.366847;406;626
2022;Virgens, Ilhas (Americanas);502.583503;0.027657;503;503
2022;Libéria;500.962933;0.485592;500;501
2022;Dinamarca;478.856383;1055.065295;-576;1534
2022;Marshall, Ilhas;423.699605;0.057292;424;424
2022;Catar;411.24172;1208.595393;-797;1620
2022;Romênia;400.803311;346.100718;55;747
2022;Jordânia;399.921468;181.416872;219;581
2022;Grécia;351.561324;54.526612;297;406
2022;Jamaica;350.356448;0.06865;350;350
2022;Geórgia;328.171305;2.094181;326;330
2022;Iêmen;327.830114;0.000924;328;328
2022;Bulgária;323.078771;162.867827;160;486
2022;Bahamas;322.40785;40.878313;282;363
2022;Líbia;320.013073;0.0;320;320
2022;Tunísia;309.163926;129.411133;180;439
2022;Coveite (Kuweit);300.939623;331.431518;-30;632
2022;Irlanda;298.211063;779.263865;-481;1077
2022;Gana;296.357537;8.645679;288;305
2022;Senegal;295.961578;2.349306;294;298
2022;Cuba;289.92597;2.669867;287;293
2022;Trinidad e Tobago;281.168966;632.283243;-351;913
2022;Togo;274.09963;128.313669;146;402
2022;Islândia;271.424359;16.818772;255;288
2022;Guiana;262.161431;567.804353;-306;830
2022;Líbano;252.618047;29.901855;223;283
2022;Malta;247.389509;19.165379;228;267
2022;El Salvador;226.134567;7.218459;219;233
2022;Honduras;214.007395;29.255868;185;243
2022;Porto Rico;205.178894;388.602814;-183;594
2022;Costa do Marfim;170.357491;105.654583;65;276
2022;Congo, República Democrática;159.53456;9.381891;150;169
2022;Nicarágua;146.017023;5.899236;140;152
2022;Brasil;143.938341;305.187885;-161;449
2022;Letônia;134.223601;54.030558;80;188
2022;Mauritânia;133.455534;0.0;133;133
2022;Camarões;126.113765;1.496411;125;128
2022;Uzbequistão;118.602468;0.448518;118;119
2022;Gibraltar;118.548009;53.727458;65;172
2022;Nova Zelândia;116.95272;72.302656;45;189
2022;Gâmbia;113.836106;0.006281;114;114
2022;Guiné;110.595092;0.001548;111;111
2022;Áustria;109.92916;1379.501542;-1270;1489
2022;Croácia;109.114088;17.605697;92;127
2022;Chipre;101.993828;2.653125;99;105
2022;Albânia;90.501023;1.746145;89;92
2022;Ucrânia;89.595766;50.952715;39;141
2022;Moçambique;87.018958;2.71717;84;90
2022;Sudão;82.998691;0.055892;83;83
2022;Luxemburgo;79.299742;51.724719;28;131
2022;Benin;78.413786;0.000866;78;78
2022;Bonaire, Saint Eustatius e Saba;77.17532;0.025017;77;77
2022;Quênia;68.591745;1.263147;67;70
2022;Mianmar;64.418806;11.75556;53;76
2022;Congo;63.737099;449.870836;-386;514
2022;Haiti;61.149236;0.550281;61;62
2022;Antígua e Barbuda;57.307383;0.000218;57;57
2022;Sérvia;56.712409;67.378968;-11;124
2022;Hungria;50.207666;487.733076;-438;538
2022;Tcheca, República;50.059162;671.895523;-622;722
2022;Madagascar;48.553231;3.804217;45;52
